_id,Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
1371,x Walley St,East Boston,02128,38,0,38,33,0,33,5,0,5,Ownership,Private,,
1372,x Ward St,South Boston,02127,14,14,0,12,12,0,2,2,0,Rental,Private,,
1373,x Wareham,South End,02118,18,0,18,16,0,16,2,0,2,Ownership,Private,,
1374,x Warren St. Lodging,Roxbury,02121,21,21,0,0,0,0,21,21,0,Rental,Private,,
1375,x Warren Street (1-4),Roxbury,02119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
1376,x Warren Supportive Housing Phase 1 - Acquisition,Roxbury,02121,10,10,0,0,0,0,10,10,0,Rental,Private,,
1377,x Washington,West Roxbury,02132,46,46,0,40,40,0,6,6,0,Rental,Private,,
1378,x Washington (Archer/Bonell),Roxbury,02119,12,12,0,11,11,0,1,1,0,Rental,Private,,
1379,x Washington [Belvidere/Dalton East Offsites],Roxbury,02119,16,0,16,9,0,9,7,0,7,Ownership,Private,,
1380,x Washington St,South End,02118,15,15,0,,0,0,15,15,0,Rental,public,,
1381,x Washington St (AOP),Roslindale,02131,26,26,0,0,0,0,26,26,0,Rental,Private,,
1382,x Washington St AB&W Cooperative Building,Dorchester,02121,24,24,0,0,0,0,24,24,0,Rental,Private,,
1383,x Washington St Lodging,Dorchester,02124,10,10,0,0,0,0,10,10,0,Rental,Private,,
1384,x Washington Street,Roslindale,02131,28,0,28,27,0,27,1,0,1,Ownership,Private,,
1385,x Washington Street Project,West Roxbury,02132,20,0,20,17,0,17,3,0,3,Ownership,Private,,
1386,x Waverly Street,Roxbury,02119,8,8,0,0,0,0,8,8,0,Rental,Private,,
1387,x Wayland St. Dorchester - COB,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
1388,"x Wellesley Park, #1",Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
1389,x Wenhan St (RDP),Jamaica Plain,02130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1390,x Wentworth St (BuildHome),Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
1391,x West 7th St (BRA acq),South Boston,02127,15,0,15,0,0,0,15,0,15,Ownership,Private,,
1392,x West 7th Street,South Boston,02127,25,0,25,24,0,24,1,0,1,Ownership,Private,,
1393,x West Broadway,South Boston,02127,49,0,49,43,0,43,6,0,6,Ownership,Private,,
1394,x West Second St Condos,South Boston,02127,15,0,15,13,0,13,2,0,2,Ownership,Private,,
1395,x West Walnut Pk.,Jamaica Plain,02119,1,0,1,0,0,0,1,0,1,Ownership,Private,,
1396,x Western Ave,Brighton,02135,132,132,0,115,115,0,17,17,0,Rental,Private,,
1397,x Westland Avenue,Fenway,02115,20,20,0,18,18,0,2,2,0,Rental,Private,,
1398,x Westminister Ave,Roxbury,02119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
1399,x Westminster (AOP),Hyde Park,02136,6,6,0,0,0,0,6,6,0,Rental,Private,,
1400,x Westmore Rd (BuildHome),Mattapan,02126,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
1401,x Wheatland Avenue,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1402,x Wildwood Street,Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
1403,x Willow Court,Dorchester,02125,14,0,14,12,0,12,2,0,2,Ownership,Private,,
1404,x Winston Rd,Dorchester,02126,6,6,0,0,0,0,6,6,0,Rental,Private,,
1405,x Woodbine (REO),Roxbury,02119,2,0,2,0,0,0,2,0,2,Ownership,Private,,
1406,x Woodbine Street,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1407,x Woodrow Ave (James VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
1408,x Woodville,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1409,x Woodward St (AOP),South Boston,02127,15,15,0,0,0,0,15,15,0,Rental,Private,,
1410,x Wordsworth St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
1411,x Wrentham (AOP),Dorchester,02124,12,12,0,0,0,0,12,12,0,Rental,Private,,
1412,x x Harrishof St,Roxbury,02121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
1413,x Zeigler Street,Roxbury,02119,8,8,0,0,0,0,8,8,0,Rental,Private,,
1414,xx A Street,South Boston,02127,23,0,23,20,0,20,3,0,3,Ownership,Private,,
1415,xx Albany St,South End,02118,180,180,0,156,156,0,24,24,0,Rental,Private,,
1416,xx B Street,South Boston,02127,32,0,32,28,0,28,4,0,4,Ownership,Private,,
1417,xx Blue Hill Ave,Roxbury,02119,2,2,0,0,0,0,2,2,0,Rental,Private,,
1418,xx Bowdoin St,Dorchester,02124,2,2,0,0,0,0,2,2,0,Rental,Public,,
1419,xx Chaucer St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
1420,xx Chelsea St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
1421,xx Coleman Street,Dorchester,02125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
1422,xx Condor St,East Boston,02128,12,0,12,10,0,10,2,0,2,Ownership,Private,,
1423,xx Cummins Highway,Mattapan,02126,16,16,0,0,0,0,16,16,0,Rental,Private,,
1424,xx Dorchester Ave,Dorchester,02124,6,6,0,0,0,0,6,6,0,Rental,Private,,
1425,xx Dorchester St,South Boston,02127,30,0,30,26,0,26,4,0,4,Ownership,Private,,
1426,xx Eustis Street,Roxbury,02119,14,14,0,0,0,0,14,14,0,Rental,Private,,
1427,xx Everett St,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
1428,xx Gladstone St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
1429,xx Green St,Jamaica Plain,02130,23,23,0,19,19,0,4,4,0,Rental,Private,,
1430,xx Harrison Ave,South End,02118,84,0,84,34,0,34,50,0,50,Ownership,Private,,
1431,xx Huckins St,Roxbury,02119,4,4,0,0,0,0,4,4,0,Cooperative,Private,,
1432,xx L Street,South Boston,02127,13,0,13,11,0,11,2,0,2,Ownership,Private,,
1433,xx Lexington St (1-4 Program),East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1434,xx Magnolia St,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1435,xx Marion St,East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1436,xx Market St,Brighton,02135,17,17,0,15,15,0,2,2,0,Rental,Private,,
1437,xx Maverick St,East Boston,02128,33,0,33,29,0,29,4,0,4,Ownership,Private,,
1438,xx Maywood Street,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1439,xx Nelson Street,Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
1440,xx Old Colony Ave,South Boston,02127,14,0,14,12,0,12,2,0,2,Ownership,Private,,
1441,xx River Street,Hyde Park,02136,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
1442,xx Saratoga St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
1443,xx Talbot Ave,Dorchester,02124,13,13,0,0,0,0,13,13,0,Rental,Private,Y,
1444,xx Tremont Street,Mission Hill,02120,66,66,0,65,65,0,1,1,0,Rental,Private,,
1445,xx W Broadway,South Boston,02127,33,0,33,29,0,29,4,0,4,Ownership,Private,,
1446,xx Washington St,Jamaica Plain,02130,40,0,40,33,0,33,7,0,7,Ownership,Private,,
1447,xx Wentworth St (BuildHome),Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
1448,xx West Broadway,South Boston,02127,24,0,24,21,0,21,3,0,3,Ownership,Private,,
1449,xxx A Street,South Boston,02127,12,0,12,11,0,11,1,0,1,Ownership,Private,,
1450,xxx Beacon St,Fenway,02215,45,45,0,39,39,0,6,6,0,Rental,Private,,
1451,xxx Blue Hill Ave,Roxbury,02119,3,2,1,0,0,0,3,1,2,Ownership/Rental,Private,,
1452,xxx Blue Hill Avenue,Dorchester,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
1453,xxx Bowdoin Street,Dorchester,02122,41,41,0,0,0,0,41,41,0,Rental,Private,,
1454,xxx Boylston Street,Fenway,02215,212,212,0,188,188,0,24,24,0,Rental,Private,,
1455,xxx Chelsea St,East Boston,02128,38,38,0,32,32,0,6,6,0,Rental,Private,,
1456,xxx Clarkson St (REO),Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1457,xxx Cummins Hwy,Roslindale,02131,12,0,12,11,0,11,1,0,1,Ownership,Private,,
1458,xxx Dorchester Avenue,South Boston,02127,33,0,33,29,0,29,4,0,4,Ownership,Private,,
1459,xxx Harrison Ave,South End,02118,225,162,63,194,137,57,31,25,6,Ownership/Rental,Private,,
1460,xxx Marion St,East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1461,xxx Maverick Street ,East Boston,02128,49,0,49,42,0,42,7,0,7,Ownership,Private,,
1462,xxx Old Colony Avenue,South Boston,02127,19,19,0,16,16,0,3,3,0,Rental,Private,,
1463,xxx Saratoga Street,East Boston,02128,18,18,0,15,15,0,3,3,0,Rental,Private,,
1464,xxx Washington St,Jamaica Plain,02130,76,73,3,64,64,0,12,9,3,Ownership/Rental,Private,,
1465,xxx West Broadway,South Boston,02127,31,31,0,27,27,0,4,4,0,Rental,Private,,
1466,xxxx Beacon St,Fenway,02215,32,32,0,28,28,0,4,4,0,Rental,Private,,
1467,xxxx Blue Hill Ave,Mattapan,02126,13,0,13,12,0,12,1,0,1,Ownership,Private,,
1468,xxxx Blue Hill Avenue,Roxbury,02119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
1469,xxxx Boylston Street,Downtown,02116,48,48,0,45,45,0,3,3,0,Rental,Private,,
1470,xxxx Clarkson St (REO),Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
1471,xxxx Dorchester Ave (Rental),Dorchester,02122,25,25,0,22,22,0,3,3,0,Rental,Private,,
1472,xxxx Saratoga Street,East Boston,02128,6,6,0,0,0,0,6,6,0,Rental,Private,,Y
1473,xxxx W Broadway,South Boston,02127,16,0,16,14,0,14,2,0,2,Ownership,Private,,
1474,xxxx Washington St,Jamaica Plain,02130,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
1475,xxxx West Broadway,South Boston,02127,3,0,3,0,0,0,3,0,3,Ownership,Private,,
1476,xxxxx Blue Hill Ave,Dorchester,02121,4,4,0,0,0,0,4,4,0,Rental,Public,,
1477,xxxxx Clarkson St (REO),Dorchester,02125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
1478,xxxxx Washington St,Jamaica Plain,02130,21,21,0,17,17,0,4,4,0,Rental,Private,,
1479,xxxxx West Broadway,South Boston,02127,15,15,0,13,13,0,2,2,0,Ownership,Private,,
1480,xxxxxx Washington St,Dorchester,02124,2,2,0,0,0,0,2,2,0,Rental,Private,,
1481,xxxxxx West Broadway,South Boston,02127,24,24,0,21,0,21,3,0,3,Ownership,Private,,
1482,xxxxxxx Blue Hill Ave,Roxbury,02119,10,10,0,0,0,0,10,10,0,Rental,Public,,
1483,xxxxxxx Washington St,South End,02118,33,33,0,2,2,0,31,31,0,Rental,Private,,
1484,xxxxxxx West Broadway,South Boston,02127,44,0,44,38,0,38,6,0,6,Ownership,Private,,
1485,xxxxxxxx Blue Hill Ave,Roxbury,02119,4,4,0,0,0,0,4,4,0,Rental,Private,,
1486,xxxxxxxx Washington St,South End,02119,31,0,31,27,0,27,4,0,4,Ownership,Private,,
1487,xxxxxxxxx Washington St,Roxbury,02130,10,0,10,9,0,9,1,0,1,Ownership,Private,,
1488,YouthBuild Ruskindale Rd,Hyde Park,02136,1,0,1,0,0,0,1,0,1,Ownership,Private,,
1489,YWCA Berkeley,South End,02116,208,208,0,168,168,0,40,40,0,Rental,Private,,
1490,YWCA Boston Units,Back Bay,02116,115,115,0,36,36,0,79,79,0,Rental,Private,?,
1491,Zebra Condominium,South End,02118,10,7,3,7,7,0,3,0,3,Ownership/Rental,Private,,
